# Token pairs extracted from pools.csv
# Format: token0,token1
0x0024c5f221d02ac9a6915730ed231d3fa104ca1e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x002755edc21ac5cd2d211d5d10a1a0fb7d7313ac,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0028af54c96e68191fe019e8a0823b372fc8b942,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x002bcf39b4476cd853a09b042d61101bc95798ed,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x002ec6ec7751240b9e8f266cf2d705beadf876c4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x002f8420ae71c66070cf40a8e424a31fd23f3c63,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00315ff141a57330fa5b2bea2c3d0ef2e90b140e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00366734a3c68557011066a9348c7c1957ddf406,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0037cbdfc6cf15750dd92f819d40d7ff26485fed,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0048a01db9b86afce544b3b832cfbc24774a363a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x004cc64103605b0d09488f7aab6c642869f96800,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x004ebabb598f97245d358d151a498dc0791a04e1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0050ec1a2cdceb2f4ea023b76f093482bc57a068,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0057ae28a1333ddc47de226210f2e908074d1173,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00583ba6f8fc1bf47d19622699bc59eb28dff815,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x006321322c64c9ef5385f2323388aa078343e14b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0071f94350573cd411e40bb409e7ddd927224054,0xbbaec992fc2d637151daf40451f160bf85f3c8c1
0x0073f5bc7b234b59de6f046c8d47e85e11d1f7f8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0077db2e996fff1c09812004b6a5cd95dd51e834,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x007841ac58280a3e61e215b646720a4553003ad5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x007d3acc903fe396c2f6d6e8ee0c5fad95d5e555,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x007f597508aaa05bb670cc7901428da464a08524,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00813e3421e1367353bfe7615c7f7f133c89df74,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00819439d2474b959b145cd16cd764228735cf65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0089fafdf609873734819254c9b4cb04109ded37,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x008c47f027b935b99491034da30d59621652c14e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x008ecbec5f3c4a79786fce7506466f9504647e67,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00927ee87b1e42bc9236b98fe131b57a1b6eb2d2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0093b283f540ff9fa5e0532dc799be6c40811354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00a3e8dcb5d43afb308319769ba187a88fc207b2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00a6a90b17400f1b00805d1bf23cc5f10e8f3fcd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00a94cfe13261ec7adaf3f47697ce5af11206394,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00ad1b8eab7548bc9df90eb3602bb8245b9a0b50,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00bbe08d90b060f600b3aad2ff7f3966c827f039,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00c2a79e4da726b408f22fb0e1e70ea5b451dbb1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00c2bc3305ab135e096db4271707ddaeff74ef73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00c586b2eb7235d1ccd92b50dc0d8b86f8caf5b6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00c85c17188df49c9010b1e15009889814a22bee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
