liquidity_pool_address,token_pair,fee_tier_bps,protocol_fee_assigned,meets_vol_cut,meets_lp_fees_cut,meets_marketshare_cut,L60d_volume_usd,volume_rank,L60d_lp_fees_usd,lp_fees_rank,uniswap_marketshare,unique_key,annualized_revenue_contribution
0x253186801a6f3ac0016404f987ec364e4ceebe1b,STONKS-WETH,100.0,0.166666,no,yes,yes,1071566.5194248394,318,10715.6651942484,205,1.0,0x69ade4ab21100dc2b125b2f9b2235c66a6e2e38c-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10864.450419526342
0x253186801a6f3ac0016404f987ec364e4ceebe1b,STONKS-WETH,100.0,0.166666,no,yes,yes,1040136.3527081772,318,10401.363527081769,205,1.0,0x69ade4ab21100dc2b125b2f9b2235c66a6e2e38c-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10545.784726094713
0xeb4626c5149894022c2066120ea7f20f217995fb,ACH-WETH,100.0,0.166666,no,yes,yes,1121202.4782139799,320,11212.024782139797,206,1.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xed04915c23f00a313a544955524eb7dbd823143d,11367.701877569012
0xeb4626c5149894022c2066120ea7f20f217995fb,ACH-WETH,100.0,0.166666,no,yes,yes,967781.5876578845,320,9677.815876578847,206,1.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xed04915c23f00a313a544955524eb7dbd823143d,9812.190737055831
0x7829dddee426d388412dc05afcaf29f7f9b86c82,ETHSCROLL-WETH,100.0,0.166666,no,yes,yes,1047383.5110760062,321,10473.835110760057,207,1.0,0x69ba0da44a3641e9efb91d3dfa065cff0354b1d4-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10619.262565633777
0x7829dddee426d388412dc05afcaf29f7f9b86c82,ETHSCROLL-WETH,100.0,0.166666,no,yes,yes,1019169.7752473388,321,10191.697752473397,207,1.0,0x69ba0da44a3641e9efb91d3dfa065cff0354b1d4-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10333.207777150199
0x0f9398a6ff340d01f5ffdd5c770f12b1101a4b15,TUQP-WETH,100.0,0.166666,no,yes,yes,1883172.7267732497,322,18831.727267732498,208,1.0,0x617a415e16de346f5c1e88ecac5a2ea76a4c19e1-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19093.202662223754
0x0f9398a6ff340d01f5ffdd5c770f12b1101a4b15,TUQP-WETH,100.0,0.166666,no,yes,yes,178970.05253319183,322,1789.700525331918,208,1.0,0x617a415e16de346f5c1e88ecac5a2ea76a4c19e1-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1814.550218842731
0xb0497171c06890ba9271cbf19b2f8dcff78afb32,TORCH-WETH,100.0,0.166666,no,yes,yes,1037221.1663214195,324,10372.211663214193,210,1.0,0x69374413744bbd2866d04fd05525ff13f31cd589-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10516.22809345598
0xb0497171c06890ba9271cbf19b2f8dcff78afb32,TORCH-WETH,100.0,0.166666,no,yes,yes,1008520.1260814359,324,10085.201260814361,210,1.0,0x69374413744bbd2866d04fd05525ff13f31cd589-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10225.232599453891
0xc2fa5fd1c1ad37701ef1b26c5f0680ac807e3efd,GMT-WETH,100.0,0.166666,no,yes,yes,1020619.7910565487,325,10206.197910565488,211,0.9978689354428569,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10347.909267520705
0xc2fa5fd1c1ad37701ef1b26c5f0680ac807e3efd,GMT-WETH,100.0,0.166666,no,yes,yes,986566.0924575735,325,9865.660924575737,211,0.9978689354428569,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10002.643982236652
